,localx_X,localy_X,globalx_X,globaly_X,vlength_X,vwidth_X,vclass_X,vel_X,acc_X,laneID_X,dzone_X,int_X,section_X,direction_X,movement_X,space_headway_X,localx_Y,localy_Y,globalx_Y,globaly_Y,vlength_Y,vwidth_Y,vclass_Y,vel_Y,acc_Y,laneID_Y,dzone_Y,int_Y,section_Y,direction_Y,movement_Y,space_headway_Y,duration
0,32.184,173.84,6452003.762,1872947.518,14.2,7.0,2,37.52,4.46,3,205.0,0.0,2.0,2.0,1.0,0.0,18.981,44.508,6451941.4739999985,1872832.741,15.6,6.6,2,38.59,0.0,2,203.0,1.0,0.0,2.0,1.0,193.89,7600
1,-21.582,1568.838,6452414.393999998,1874247.967,15.9,7.2,2,52.17,0.0,2,201.0,4.0,0.0,4.0,1.0,141.85,-25.669,1451.089,6452410.95,1874128.396,20.0,7.0,2,51.3,-13.99,3,201.0,0.0,4.0,4.0,1.0,76.94,7300
2,71.84100000000002,446.091,6452157.642999998,1873163.629,14.5,6.5,2,0.0,0.0,2,211.0,0.0,0.0,3.0,1.0,0.0,23.303,387.964,6452085.569,1873140.409,18.5,7.0,2,38.27,-3.96,2,208.0,2.0,0.0,2.0,1.0,0.0,5200
3,48.925,444.066,6452137.185,1873174.151,13.5,6.5,2,0.0,0.0,0,211.0,2.0,0.0,3.0,1.0,0.0,19.979,418.463,6452099.031,1873167.978,18.5,7.0,2,38.33,1.54,2,208.0,2.0,0.0,2.0,1.0,0.0,4600
4,18.327,40.53,6451939.248,1872829.38,15.6,6.6,2,38.59,0.0,2,203.0,1.0,0.0,2.0,1.0,193.88,26.931,107.493,6451973.555,1872888.256,13.0,7.0,2,40.53,-0.79,3,208.0,0.0,2.0,2.0,1.0,62.64,9800
5,49.855,60.078,6451976.017000001,1872834.3,13.9,6.8,2,6.47,0.0,0,208.0,1.0,0.0,2.0,3.0,0.0,42.084,31.12,6451956.302,1872809.755,15.2,6.5,2,0.0,0.0,1,201.0,0.0,0.0,2.0,1.0,0.0,6200
6,37.33,356.416,6452081.022999999,1873106.988,14.2,7.0,2,50.18,-8.93,3,205.0,2.0,0.0,2.0,1.0,0.0,71.84100000000002,446.091,6452157.642999998,1873163.629,14.5,6.5,2,0.0,0.0,2,211.0,0.0,0.0,3.0,1.0,0.0,6100
7,35.36400000000001,373.326,6452087.947000002,1873121.546,14.2,7.0,2,40.84,6.85,3,205.0,2.0,0.0,2.0,1.0,0.0,48.925,444.066,6452137.185,1873174.151,13.5,6.5,2,0.0,0.0,0,211.0,2.0,0.0,3.0,1.0,0.0,5900
8,53.448,55.93600000000001,6451977.597999998,1872829.05,14.4,6.5,2,9.59,0.0,3,208.0,0.0,0.0,2.0,1.0,0.0,30.712,134.41899999999998,6451987.311000002,1872911.712,13.9,6.8,2,33.5,8.77,3,208.0,0.0,2.0,2.0,1.0,335.17,2500
9,40.472,308.769,6452064.7820000015,1873066.671,13.0,7.0,2,50.17,-12.87,3,208.0,0.0,2.0,2.0,1.0,68.64,71.84100000000002,446.091,6452157.642999998,1873163.629,14.5,6.5,2,0.0,0.0,2,211.0,0.0,0.0,3.0,1.0,0.0,6900
